"","Model","Train_R2","Test_R2","Train_ADJ_R2","Test_ADJ_R2","RMSE","MAPE","Residual_std_error"
"1","linear regression","0.895678523714302","0.899909440846166","0.895342971310471","0.898595190242211","0.440464187654554","0.250289819126992","0.00601189468842359"
"2","eps linear","0.892338542934036","0.900877797864006","0.891992247405975","0.899576262383298","0.438328305646937","0.233756155673112","0.00610699689027398"
"3","eps polynomial","0.937516084964185","0.928984929272488","0.937315104028739","0.928052457714905","0.371013154199383","0.193789513470452","0.00465151468338014"
"4","eps radial","0.949041035460066","0.935679265312429","0.948877124790308","0.934834694504507","0.353093354564761","0.177645867797443","0.00420171274609952"
"5","eps sigmoid","-1366.92191788206","-1475.58536701041","-1371.32186987796","-1494.9738410762","53.498711940631","23.7592500671657","0.687751533828534"
"6","nu linear","0.893465567409657","0.901138132982043","0.893122896981484","0.899840015861559","0.437752313217635","0.236735352537136","0.0060747834835275"
"7","nu polynomial","0.937492515869454","0.928828242131519","0.937291459123478","0.927893713175402","0.371422229055408","0.194492689550515","0.00465244186892425"
"8","nu radial","0.949100596182578","0.935923909403165","0.948936877091241","0.935082550922626","0.352421219067489","0.17558204842662","0.00419919893812761"
"9","nu sigmoid","-824.128740245771","-871.888744424639","-826.782785626619","-883.35031052282","41.1332942650716","19.8835534660433","0.534395571659587"
