"","Model","Train_R2","Test_R2","Train_ADJ_R2","Test_ADJ_R2","RMSE","MAPE","Residual_std_error"
"1","linear regression","0.72242314936236","0.679780181372796","0.721545618553356","0.675253264293988","81.3964080720559","0.501182541464226","1.1712566975583"
"2","eps linear","0.739124697723262","0.718608295403767","0.738299967150341","0.714630287675101","76.3021511469493","0.368529963297052","1.13172406684411"
"3","eps polynomial","0.81337108164845","0.768798991975877","0.812781073420717","0.765530525344584","69.1633464658226","0.314383442711806","0.956259332589645"
"4","eps radial","0.84506851957527","0.79538235251862","0.84457871955396","0.792489692323571","65.0657859917006","0.264105970118347","0.873747965523345"
"5","eps sigmoid","-1356.4644980417","-1880.57280908367","-1360.75598314366","-1907.17242468828","6239.38308182","45.0139793657819","81.8179122692859"
"6","nu linear","0.743532582516391","0.719160769108891","0.742721787020187","0.715190571648377","76.2272099828237","0.395764318897202","1.12290050484662"
"7","nu polynomial","0.816299905269828","0.767259380933451","0.815719156218268","0.76396914896748","69.393250230801","0.339776730223126","0.94987355543059"
"8","nu radial","0.845114526850075","0.794067732333708","0.844624872276057","0.791156487478306","65.2744675199126","0.27582311156822","0.874513684538985"
"9","nu sigmoid","-807.070918422517","-1088.12895724842","-809.625551941657","-1103.52586959047","4747.01702510561","35.9804497705303","63.1494518491055"
