"","Model","Train_R2","Test_R2","Train_ADJ_R2","Test_ADJ_R2","RMSE","MAPE","Residual_std_error"
"1","linear regression","0.853544256828909","0.83003183767237","0.853076975700403","0.827723478069636","68.7706546008195","0.534706998919489","1.06164298930861"
"2","eps linear","0.840701388038247","0.850999603299594","0.840193130502181","0.848976009634614","64.3892076905234","0.432721155512297","1.10155405814305"
"3","eps polynomial","0.944948031147978","0.932793475325972","0.944772382548786","0.93188073481932","43.2439232463052","0.202967320885964","0.649219288170361"
"4","eps radial","0.957753898413372","0.943813581266738","0.957619108164817","0.943050506244628","39.5398524674826","0.169433698712143","0.570008988946848"
"5","eps sigmoid","-1458.05139238134","-1548.85310484973","-1462.70663611858","-1569.90186038379","6566.96403211419","39.5719585526254","105.883014517508"
"6","nu linear","0.846074402304494","0.848501593871703","0.845583287886993","0.846444074417495","64.9267106038935","0.454897380586194","1.08560412924618"
"7","nu polynomial","0.944950600076115","0.93272305034346","0.944774959673336","0.931809353386009","43.2665747310143","0.203470398407246","0.64924790258257"
"8","nu radial","0.958461874119564","0.943726167384886","0.958329342735563","0.942961905183538","39.570598231218","0.161760613505243","0.565017225194414"
"9","nu sigmoid","-868.257117309679","-948.472406213295","-871.030565710835","-961.36731380304","5139.96950809237","34.2420857784754","81.7431692790287"
