"","Model","Train_R2","Test_R2","Train_ADJ_R2","Test_ADJ_R2","RMSE","MAPE","Residual_std_error"
"1","linear regression","0.982690296385539","0.982690296384317","0.982645695847341","0.982645695846116","0.979948787221368","0.146047034838434","0.0113970650391527"
"2","eps linear","0.981895094093856","0.981895094093856","0.981848444621085","0.981848444621085","1.00220531110238","0.123689027713542","0.0116508499344172"
"3","eps polynomial","0.995790002451629","0.995790002451629","0.995779154885394","0.995779154885394","0.483280737370968","0.0783284929113305","0.00554793425471918"
"4","eps radial","0.99559782604999","0.99559782604999","0.995586483318088","0.995586483318088","0.494187963700957","0.0695194407211779","0.00574079043310718"
"5","eps sigmoid","-2166.13263776088","-2166.13263776088","-2171.7165162688","-2171.7165162688","346.73789657809","71.7393517199519","4.03007213122424"
"6","nu linear","0.980576885297959","0.980576885297959","0.980526839301303","0.980526839301303","1.03804935116117","0.120410924790731","0.0120704694986049"
"7","nu polynomial","0.996890868982294","0.996890868982294","0.996882857931394","0.996882857931394","0.41531543868477","0.0497384281590792","0.00481984354076044"
"8","nu radial","0.99848017564267","0.99848017564267","0.998476259631985","0.998476259631985","0.290372353162401","0.00779340690041728","0.00337457159348843"
"9","nu sigmoid","-1281.27757993338","-1281.27757993338","-1284.58152270782","-1284.58152270782","266.71631874147","54.850776085037","3.09981913313262"
